index, timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB]
0, 2025/02/26 09:24:27.012, 82 %, 76 %, 19617 MiB
1, 2025/02/26 09:24:27.012, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:28.013, 88 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:28.054, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:29.055, 89 %, 82 %, 19617 MiB
1, 2025/02/26 09:24:29.055, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:30.056, 89 %, 82 %, 19617 MiB
1, 2025/02/26 09:24:30.056, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:31.057, 88 %, 81 %, 19617 MiB
1, 2025/02/26 09:24:31.057, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:32.058, 79 %, 73 %, 19617 MiB
1, 2025/02/26 09:24:32.058, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:33.059, 87 %, 79 %, 19617 MiB
1, 2025/02/26 09:24:33.059, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:34.060, 90 %, 83 %, 19617 MiB
1, 2025/02/26 09:24:34.061, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:35.062, 94 %, 86 %, 19617 MiB
1, 2025/02/26 09:24:35.062, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:36.063, 92 %, 84 %, 19617 MiB
1, 2025/02/26 09:24:36.064, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:37.064, 91 %, 83 %, 19617 MiB
1, 2025/02/26 09:24:37.065, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:38.066, 94 %, 86 %, 19617 MiB
1, 2025/02/26 09:24:38.066, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:39.067, 93 %, 85 %, 19617 MiB
1, 2025/02/26 09:24:39.067, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:40.068, 92 %, 84 %, 19617 MiB
1, 2025/02/26 09:24:40.069, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:41.069, 85 %, 77 %, 19617 MiB
1, 2025/02/26 09:24:41.129, 0 %, 0 %, 5 MiB
0, 2025/02/26 09:24:42.129, 92 %, 85 %, 19617 MiB
